model_name,trial_id,best_epoch,best_val_accuracy,test_accuracy,training_time_s,inference_time_ms_per_sample,peak_gpu_memory_mb
MobileNetV2,m1_t1,2,0.82,0.65,108.33461499999976,0.22928281237000192,103.7978515625
MobileNetV2,m1_t2,2,0.82,0.66,105.12213230000634,0.2724390624280204,289.095703125
MobileNetV2,m1_t3,3,0.84,0.72,165.12739640001382,0.22902968748894637,281.69091796875
EfficientDetLite0,m2_t1,1,0.56,0.53,77.5284546000039,0.17728124998939165,119.2705078125
EfficientDetLite0,m2_t2,5,0.58,0.57,159.28758299999754,0.1710828125851549,314.19189453125
EfficientDetLite0,m2_t3,1,0.58,0.5,99.26757680000446,0.1769984376096545,303.36474609375
